Country,Population,Primary_Energy_Production,Net_Imports,Total_Supply
Afghanistan,38928341,71,125,197
Albania,2877800,63,28,86
Algeria,43851043,5506,-3110,2388
Angola,32866268,3253,-2763,505
Argentina,45195777,3108,-27,3088
Armenia,2963234,42,111,152
Australia,25499881,18950,-13242,5514
Austria,9006400,501,775,1321
Azerbaijan,10139175,2412,-1758,643
Bahamas,393248,0,27,31
Bangladesh,164689383,1457,623,2079
Belarus,9449321,187,877,1052
Belgium,11589616,571,1555,2097
Belize,397621,7,9,15
Benin,12123198,124,107,232
Bhutan,771612,91,-24,67
Bolivia,11673029,716,-391,324
Bosnia and Herz.,3280815,219,76,298
Botswana,2351625,51,33,84
Brazil,212559409,13393,-1500,11927
Brunei,437479,603,-431,163
Bulgaria,6948445,453,273,732
Burkina Faso,20903278,133,65,200
Burundi,11890781,56,11,67
Cambodia,16718971,161,196,357
Cameroon,26545864,556,-133,423
Canada,37742157,21671,-9563,11908
Central African Rep.,4829764,372,3,38
Chad,16425859,535,-270,102
Chile,19116209,111744,1033,1584
China,1439323774,3,31922,140213
Colombia,50882884,776,-3311,1681
Congo,5518092,116,-632,136
Costa Rica,5094114,157,89,207
Croatia,4105268,1,185,346
Cuba,11326616,7,170,341
Cyprus,875899,582,84,89
Czechia,10708982,1316,654,1681
Dem. Rep. Congo,95989998,4,-8,1308
Denmark,5792203,0,281,645
Djibouti,988002,44,7,10
Dominican Rep.,10847904,3656,299,344
Ecuador,17643060,87,-624,526
Egypt,102334403,552,47,3702
El Salvador,6486201,31,92,179
Eq. Guinea,1402985,183,-466,88
Eritrea,3546427,30,8,39
Estonia,1326539,1441,9,188
Eswatini,1160164,0,15,46
Ethiopia,114963583,1,184,1625
Falkland Is.,3506,6,1,1
Fiji,896444,4976,15,21
Finland,5540718,1,547,1322
France,65273512,516,4046,9110
Gabon,2225728,44,-422,108
Gambia,2416664,4034,9,17
Georgia,3989175,704,166,208
Germany,83783945,0,7382,11646
Ghana,31072945,191,-200,490
Greece,10423056,0,660,816
Greenland,56367,0,8,9
Guatemala,17915567,119,198,558
Guinea,13132792,4,64,185
Guinea-Bissau,1874000,142,4,32
Guyana,786559,101,36,39
Haiti,11402533,449,35,177
Honduras,9904608,335,124,224
Hungary,9660350,23600,618,1099
Iceland,341250,20464,26,362
India,1380004385,13893,14182,38178
Indonesia,273523621,8916,-9810,10345
Iran,83992953,146,-2820,11074
Iraq,40222503,1,-7013,1896
Ireland,4937796,495,392,555
Israel,8655541,11,396,884
Italy,60461828,1811,4251,5743
Jamaica,2961161,1,91,102
Japan,126476458,33,14160,16145
Jordan,10203140,777,322,347
Kazakhstan,18776707,1,-3872,2759
Kenya,53771300,80,255,1032
Kosovo,1932774,102,34,112
Kuwait,4270563,297,-4825,1530
Kyrgyzstan,6524191,113,55,150
Laos,7275556,10,-58,246
Latvia,1886202,16,77,180
Lebanon,6825442,90,325,311
Lesotho,2142252,1334,26,42
Liberia,5057677,1,9,99
Libya,6871287,82,-656,679
Lithuania,2722291,331,231,310
Luxembourg,625976,70,133,145
Madagascar,27691019,3837,52,381
Malawi,19129955,0,23,91
Malaysia,32365998,165,34,3881
Mali,20250834,0,80,245
Mauritania,4649660,6284,74,81
Mexico,128932753,1169,1280,7487
Moldova,4033963,60041,87,115
Mongolia,3278292,0,-741,428
Montenegro,628062,100,12,44
Morocco,36910558,1147,783,892
Mozambique,31255435,29,-284,453
Myanmar,53756787,0,-190,957
Namibia,2540916,465,49,77
Nepal,29136808,2,169,634
Netherlands,17134873,727,1787,2884
New Caledonia,271080,94,64,63
New Zealand,4822233,115,214,935
Nicaragua,6624554,9932,68,162
Niger,24206636,0,-1,114
Nigeria,206139587,50,-3232,6639
North Korea,26136312,385,45,626
North Macedonia,2083380,8727,69,117
Norway,5421242,465,-7551,1139
Oman,5106622,2220,-2214,1127
Pakistan,220892331,41,1432,3685
Palestine,5069692,1411,72,82
Panama,4314768,293,118,174
Papua New Guinea,8947027,890,-394,200
Paraguay,7132530,1229,0,292
Peru,32971846,2423,-16,882
Philippines,109581085,254,1141,2381
Poland,37846605,2,1824,4285
Portugal,10196707,9216,552,848
Puerto Rico,3275805,2169,48,50
Qatar,2881060,29,-7430,1753
Romania,19237682,89,382,1355
Russia,145934460,0,-28849,31453
Rwanda,12952209,0,16,105
S. Sudan,11193729,9,-326,32
Saudi Arabia,34813867,458,-16235,9445
Senegal,16743930,0,106,195
Serbia,6804596,56,192,657
Sierra Leone,7976985,280,19,71
Slovakia,5459643,151,386,683
Slovenia,2078932,6313,120,270
Solomon Is.,691191,358,5,8
Somalia,15893219,1407,8,159
South Africa,59308690,151,-819,5510
South Korea,51640000,941,9299,11549
Spain,46754783,405,3024,4528
Sri Lanka,21413250,43,252,408
Sudan,43849269,519,114,520
Suriname,586634,191,3,45
Sweden,10099270,155,547,1827
Switzerland,8654618,2598,460,971
Syria,17500657,197,177,368
Tajikistan,9537642,126,50,205
Tanzania,56320000,132,119,1006
Thailand,69799978,0,2781,5243
Timor-Leste,1268000,1226,-187,9
Togo,8278737,207,25,151
Trinidad and Tobago,1399491,3255,-612,615
Tunisia,11818618,0,246,450
Turkey,84339067,0,4293,6131
Turkmenistan,6949912,979,-2193,1062
Uganda,45741000,4894,243,1222
Ukraine,43733759,887,1188,3447
United Arab Emirates,9890400,90604,-5882,3637
United Kingdom,67886004,0,1534,6440
United States of America,331002647,1730,-4695,85517
Uruguay,3473727,2070,30,219
Uzbekistan,33469199,2509,4,1796
Vanuatu,311685,0,-1058,4
Venezuela,28435943,164,1949,1012
Vietnam,97338583,405,0,4512
